date;level;error
28/03/2005;319.993;0.012
29/04/2005;325.009;0.016
02/05/2005;325.350;0.021
03/06/2005;328.142;0.003
19/06/2005;327.555;0.056
08/07/2005;326.416;0.010
11/07/2005;326.197;0.045
12/08/2005;323.106;0.003
15/08/2005;322.714;0.035
16/09/2005;318.350;0.011
19/09/2005;317.176;0.013
21/10/2005;314.871;0.012
24/10/2005;314.266;0.007
05/11/2005;313.404;0.023
25/11/2005;311.144;0.020
30/12/2005;307.947;0.087
02/01/2006;308.764;0.040
03/02/2006;310.043;0.018
10/03/2006;317.816;0.005
13/03/2006;317.691;0.021
14/04/2006;319.145;0.019
17/04/2006;318.555;0.019
23/06/2006;318.719;0.003
26/06/2006;318.538;0.092
28/07/2006;317.728;0.030
31/07/2006;317.683;0.072
01/09/2006;315.818;0.002
04/09/2006;315.817;0.010
09/10/2006;313.908;0.005
18/10/2006;313.294;0.056
19/01/2007;311.545;0.064
22/01/2007;311.516;0.059
23/02/2007;312.831;0.014
26/02/2007;312.908;0.005
30/03/2007;315.600;0.008
04/05/2007;318.483;0.089
07/05/2007;319.006;0.012
08/06/2007;318.941;0.001
11/06/2007;320.002;0.017
13/07/2007;318.879;0.004
16/07/2007;318.517;0.032
17/08/2007;315.426;0.009
20/08/2007;316.277;0.029
21/09/2007;313.695;0.003
24/09/2007;313.142;0.025
26/10/2007;310.414;0.043
29/10/2007;310.457;0.017
03/12/2007;309.904;0.002
04/01/2008;309.315;0.096
07/01/2008;308.448;0.058
08/02/2008;310.465;0.002
11/02/2008;310.974;0.023
17/03/2008;312.243;0.007
05/04/2008;314.673;0.015
18/04/2008;316.322;0.012
21/04/2008;316.019;0.029
23/05/2008;318.799;0.017
26/05/2008;318.318;0.019
01/08/2008;315.937;0.004
04/08/2008;315.842;0.030
05/09/2008;313.224;0.002
08/09/2008;312.579;0.017
13/10/2008;309.753;0.007
14/11/2008;308.132;0.011
17/11/2008;308.069;0.012
19/12/2008;306.473;0.046
22/12/2008;306.478;0.035
18/01/2009;305.367;0.001
26/01/2009;305.873;0.004
27/01/2009;305.927;0.017
16/02/2009;306.175;0.037
02/03/2009;307.241;0.013
08/03/2009;307.836;0.002
18/03/2009;311.068;0.002
07/04/2009;315.153;0.022
27/04/2009;318.287;0.014
07/05/2009;317.919;0.033
11/05/2009;319.097;0.016
17/05/2009;319.145;0.022
26/05/2009;319.186;0.043
05/06/2009;319.453;0.001
12/06/2009;318.906;0.005
15/06/2009;319.292;0.003
25/06/2009;318.912;0.002
05/07/2009;318.145;0.009
15/07/2009;318.158;0.021
17/07/2009;317.053;0.041
20/07/2009;317.132;0.060
25/07/2009;317.111;0.018
04/08/2009;316.491;0.011
14/08/2009;313.793;0.071
24/08/2009;314.227;0.009
13/09/2009;311.060;0.015
22/09/2009;309.676;0.058
28/09/2009;308.479;0.024
02/10/2009;307.995;0.022
12/10/2009;306.290;0.001
22/10/2009;304.929;0.011
30/10/2009;303.417;0.005
01/11/2009;303.075;0.044
02/11/2009;303.843;0.037
01/12/2009;303.345;0.034
04/12/2009;303.076;0.009
07/12/2009;301.747;0.019
11/12/2009;302.144;0.012
08/02/2010;306.064;0.012
12/02/2010;306.352;0.002
18/02/2010;306.087;0.004
19/03/2010;308.080;0.025
20/03/2010;308.580;0.001
22/03/2010;308.407;0.019
30/03/2010;309.019;0.012
09/04/2010;310.529;0.003
19/04/2010;312.545;0.002
23/04/2010;312.834;0.009
29/04/2010;314.146;0.031
18/05/2010;318.924;0.014
28/05/2010;319.152;0.007
31/05/2010;319.073;0.009
07/06/2010;319.362;0.016
17/06/2010;319.202;0.008
27/06/2010;319.340;0.009
07/07/2010;318.194;0.015
17/07/2010;317.751;0.024
27/07/2010;316.998;0.003
06/08/2010;316.000;0.034
09/08/2010;315.606;0.011
16/08/2010;315.223;0.039
05/09/2010;313.675;0.034
10/09/2010;311.536;0.085
13/09/2010;312.668;0.003
14/09/2010;312.201;0.015
24/09/2010;311.657;0.004
04/10/2010;310.218;0.014
14/10/2010;308.815;0.009
15/10/2010;308.652;0.019
18/10/2010;308.528;0.019
24/10/2010;308.044;0.018
03/11/2010;305.985;0.039
13/11/2010;305.262;0.005
23/11/2010;303.418;0.015
23/12/2010;300.843;0.014
01/01/2011;299.970;0.016
11/01/2011;299.879;0.013
21/01/2011;298.999;0.015
10/02/2011;298.972;0.007
20/02/2011;298.545;0.005
12/03/2011;299.111;0.005
01/04/2011;304.103;0.024
20/05/2011;319.062;0.052
30/05/2011;319.187;0.002
09/06/2011;319.560;0.015
19/06/2011;319.146;0.006
09/07/2011;318.654;0.012
19/07/2011;318.036;0.021
29/07/2011;317.605;0.052
08/08/2011;316.852;0.045
18/08/2011;315.503;0.035
27/08/2011;315.392;0.009
06/09/2011;314.375;0.009
16/09/2011;313.317;0.052
26/09/2011;312.046;0.019
06/10/2011;311.654;0.002
16/10/2011;310.358;0.029
05/11/2011;307.833;0.017
25/11/2011;307.164;0.015
05/12/2011;306.574;0.011
24/12/2011;304.729;0.014
03/01/2012;303.549;0.020
13/01/2012;302.432;0.011
23/01/2012;302.989;0.007
12/02/2012;303.554;0.002
22/02/2012;304.271;0.007
01/05/2012;317.153;0.003
11/05/2012;318.166;0.005
21/05/2012;319.343;0.060
31/05/2012;319.605;0.005
10/06/2012;319.620;0.017
20/06/2012;319.607;0.004
30/06/2012;318.951;0.050
10/07/2012;318.583;0.002
20/07/2012;318.396;0.037
30/07/2012;317.506;0.009
09/08/2012;316.761;0.003
18/08/2012;315.664;0.022
28/08/2012;315.189;0.020
07/09/2012;313.986;0.015
17/09/2012;313.225;0.054
27/09/2012;311.995;0.006
07/10/2012;310.640;0.010
17/10/2012;309.505;0.005
27/10/2012;308.412;0.002
06/11/2012;304.870;0.048
26/11/2012;305.929;0.024
24/01/2013;309.979;0.004
15/03/2013;310.305;0.015
25/03/2013;312.636;0.005
13/04/2013;315.045;0.098
03/05/2013;316.893;0.016
13/05/2013;318.327;0.013
02/06/2013;318.614;0.025
12/06/2013;318.976;0.001
22/06/2013;319.393;0.007
02/07/2013;319.178;0.026
12/07/2013;317.968;0.035
22/07/2013;319.327;0.097
31/07/2013;319.061;0.041
10/08/2013;318.865;0.010
20/08/2013;318.058;0.084
30/08/2013;317.400;0.014
19/09/2013;316.171;0.004
29/09/2013;315.203;0.001
09/10/2013;313.651;0.016
19/10/2013;312.704;0.025
29/10/2013;311.273;0.002
06/01/2014;307.122;0.006
26/01/2014;306.002;0.001
15/02/2014;308.224;0.024
25/02/2014;308.397;0.002
07/03/2014;308.745;0.000
26/03/2014;311.317;0.017
05/04/2014;312.474;0.004
15/04/2014;312.691;0.031
25/04/2014;312.956;0.058
05/05/2014;314.432;0.006
15/05/2014;315.307;0.008
25/05/2014;315.331;0.012
04/06/2014;315.125;0.005
24/06/2014;314.679;0.017
04/07/2014;314.187;0.039
14/07/2014;313.451;0.037
23/07/2014;312.523;0.004
02/08/2014;311.913;0.071
12/08/2014;311.262;0.003
22/08/2014;310.567;0.005
01/09/2014;309.308;0.001
11/09/2014;307.581;0.005
21/09/2014;306.637;0.006
01/10/2014;306.296;0.025
11/10/2014;305.328;0.006
31/10/2014;304.900;0.033
19/11/2014;303.999;0.005
28/01/2015;309.601;0.016
18/03/2015;315.625;0.037
28/03/2015;315.872;0.021
27/04/2015;318.820;0.017
07/05/2015;318.393;0.012
17/05/2015;319.521;0.002
27/05/2015;319.047;0.007
06/06/2015;319.172;0.005
16/06/2015;319.251;0.009
26/06/2015;318.904;0.002
05/07/2015;317.834;0.034
15/07/2015;317.147;0.014
25/07/2015;315.417;0.024
04/08/2015;314.843;0.004
14/08/2015;313.634;0.006
24/08/2015;312.864;0.007
03/09/2015;311.534;0.033
13/09/2015;310.089;0.006
23/09/2015;308.051;0.041
03/10/2015;306.363;0.006
13/10/2015;304.827;0.003
23/10/2015;303.551;0.007
11/12/2015;302.811;0.009
21/12/2015;302.174;0.004
19/02/2016;306.896;0.003
08/04/2016;310.443;0.001
18/04/2016;311.484;0.011
28/04/2016;311.700;0.011
08/05/2016;313.595;0.006
18/05/2016;314.920;0.025
28/05/2016;315.443;0.003
07/06/2016;315.633;0.002
17/06/2016;315.523;0.001
26/06/2016;315.035;0.004
06/07/2016;315.232;0.004
16/07/2016;314.479;0.002
26/07/2016;313.615;0.003
05/08/2016;312.582;0.003
15/08/2016;311.835;0.001
25/08/2016;311.279;0.010
04/09/2016;310.247;0.002
14/09/2016;309.622;0.003
24/09/2016;308.776;0.003
04/10/2016;307.060;0.004
14/10/2016;305.773;0.004
23/10/2016;304.306;0.003
02/11/2016;302.777;0.021
12/11/2016;302.570;0.002
22/11/2016;302.254;0.004
02/12/2016;301.130;0.016
12/12/2016;302.022;0.001
22/12/2016;303.312;0.006
01/01/2017;305.154;0.002
11/01/2017;304.687;0.009
21/01/2017;304.677;0.003
31/01/2017;304.635;0.008
10/02/2017;305.096;0.002
19/02/2017;305.044;0.001
01/03/2017;305.549;0.019
11/03/2017;306.362;0.008
21/03/2017;308.304;0.021
31/03/2017;310.599;0.007
10/04/2017;313.000;0.005
20/04/2017;316.935;0.001
30/04/2017;320.148;0.001
10/05/2017;321.445;0.001
20/05/2017;321.095;0.010
30/05/2017;321.128;0.010
08/06/2017;321.164;0.013
18/06/2017;320.197;0.004
28/06/2017;319.738;0.007
08/07/2017;318.421;0.031
28/07/2017;316.316;0.002
07/08/2017;314.845;0.004
17/08/2017;313.576;0.029
27/08/2017;312.202;0.001
06/09/2017;310.708;0.006
16/09/2017;309.244;0.034
26/09/2017;308.156;0.001
05/10/2017;306.394;0.002
15/10/2017;304.117;0.004
25/10/2017;302.173;0.005
04/11/2017;299.875;0.002
14/11/2017;298.448;0.008
24/11/2017;296.655;0.030
04/12/2017;295.641;0.002
14/12/2017;293.816;0.003
24/12/2017;292.535;0.002
03/01/2018;292.373;0.003
13/01/2018;292.391;0.003
23/01/2018;292.726;0.008
01/02/2018;293.614;0.003
11/02/2018;294.600;0.001
21/02/2018;295.257;0.001
03/03/2018;297.124;0.000
13/03/2018;299.389;0.001
23/03/2018;301.638;0.002
02/04/2018;303.943;0.001
22/04/2018;304.770;0.046
02/05/2018;305.468;0.003
12/05/2018;307.441;0.005
22/05/2018;309.797;0.001
31/05/2018;310.802;0.001
10/06/2018;311.333;0.001
20/06/2018;310.869;0.001
30/06/2018;310.855;0.005
10/07/2018;309.974;0.030
20/07/2018;309.495;0.001
30/07/2018;308.700;0.002
09/08/2018;308.154;0.001
19/08/2018;307.448;0.005
29/08/2018;306.769;0.017
08/09/2018;305.371;0.005
18/09/2018;304.175;0.007
27/09/2018;303.136;0.001
07/10/2018;301.846;0.001
17/10/2018;300.560;0.001
27/10/2018;299.091;0.002
06/11/2018;299.284;0.004
16/11/2018;299.209;0.004
26/11/2018;300.440;0.002
16/12/2018;307.964;0.009
26/12/2018;311.793;0.004
05/01/2019;315.510;0.003
15/01/2019;317.805;0.003
24/01/2019;319.312;0.029
03/02/2019;321.280;0.001
13/02/2019;320.933;0.001
23/02/2019;319.708;0.001
15/03/2019;319.998;0.001
25/03/2019;321.351;0.001
14/04/2019;323.790;0.007
14/05/2019;323.604;0.013
23/05/2019;324.489;0.004
12/06/2019;323.589;0.067
22/06/2019;324.022;0.015
22/07/2019;323.602;0.006
01/08/2019;322.272;0.004
21/08/2019;320.762;0.023
31/08/2019;319.359;0.004
09/09/2019;318.405;0.002
19/09/2019;317.769;0.005
09/10/2019;316.928;0.011
19/10/2019;316.606;0.001
29/10/2019;315.689;0.021
08/11/2019;315.609;0.001
18/11/2019;315.025;0.009
28/11/2019;314.661;0.001
08/12/2019;314.015;0.004
18/12/2019;314.012;0.003
28/12/2019;313.577;0.016
06/01/2020;313.586;0.001
16/01/2020;313.599;0.001
26/01/2020;313.079;0.024
15/02/2020;314.036;0.003
25/02/2020;314.612;0.001
06/03/2020;314.705;0.005
16/03/2020;315.149;0.008
26/03/2020;318.382;0.005
05/04/2020;320.242;0.006
15/04/2020;320.671;0.001
